name,year,day,count,sum,mean,stdev,index
7,2014,132,4594,17819,3.8787548976926427,2.3455079603531175,10
5,2014,78,4554,0,0,0,9
6,2014,102,2188,0,0,0,10
7,2014,109,4594,0,0,0,10
8,2014,132,3523,2199,0.62418393414703377,1.0055790339556967,10
6,2014,78,2188,100,0.045703839122486288,0.20884204129425707,9
7,2014,102,4594,0,0,0,10
8,2014,109,3523,0,0,0,10
8,2014,102,3523,0,0,0,10
7,2014,78,4594,0,0,0,9
8,2014,78,3523,0,0,0,9
1,2014,129,1579,444015,281.20012666244457,34.916391224916524,0
1,2014,124,2466,38310,15.535279805352799,2.1289940906852838,10
2,2014,124,5751,76745,13.344635715527735,11.172529250076844,10
3,2014,124,5603,253397,45.2252364804569,12.923819897766101,10
2,2014,129,2281,587716,257.65716790881191,47.796073760784822,0
4,2014,124,7443,164698,22.127905414483408,4.7331055977455634,10
3,2014,129,1387,341710,246.36625811103102,48.417553742082042,0
5,2014,124,4554,124733,27.389767237593325,5.3341394967397342,10
4,2014,129,2102,558098,265.50808753568032,46.426790647991645,0
6,2014,124,2188,41341,18.894424131627055,1.0889615615967831,10
5,2014,129,574,146978,256.05923344947735,50.655390797367239,0
7,2014,124,4594,71193,15.496952546800173,4.2495219156861754,10
6,2014,129,1419,383843,270.50246652572235,41.687220368462164,0
8,2014,124,3523,15311,4.346011921657678,3.4852273891203049,10
7,2014,129,1755,454467,258.95555555555558,45.754656844762138,0
8,2014,129,1621,416605,257.00493522516967,47.457971669309032,0
1,2014,93,2466,7442,3.0178426601784265,0.79312100323428014,10
1,2014,85,2466,4,0.0016220600162206002,0.040242128889068217,10
2,2014,85,5751,3362,0.58459398365501647,1.0858309579450003,10
2,2014,93,5751,17008,2.9573987132672577,2.2969653566277377,10
3,2014,85,5603,29,0.0051757986792789574,0.071756601001653722,10
3,2014,93,5603,33668,6.0089237908263433,1.5821574411426427,10
4,2014,85,7443,32,0.0042993416633078062,0.065428260901310459,10
4,2014,93,7443,36566,4.9128039768910385,2.9662078586972322,10
5,2014,85,4554,3,0.00065876152832674575,0.025657894722200852,10
5,2014,93,4554,21333,4.6844532279314892,1.7221055792086286,10
6,2014,85,2188,3,0.0013711151736745886,0.03700317846962755,10
6,2014,93,2188,8078,3.6919561243144425,1.2994124723166374,10
7,2014,85,4594,477,0.10383108402263823,0.30504129230863497,10
7,2014,93,4594,10202,2.2207226817588159,1.3322779599709718,10
8,2014,85,3523,1435,0.40732330400227079,0.60990291562964349,10
8,2014,93,3523,7487,2.1251774056202102,1.4200019553705443,10
1,2014,87,2466,0,0,0,10
1,2014,83,2466,0,0,0,10
2,2014,87,5751,0,0,0,10
2,2014,83,5751,0,0,0,10
3,2014,87,5603,0,0,0,10
3,2014,83,5603,0,0,0,10
4,2014,87,7443,0,0,0,10
4,2014,83,7443,0,0,0,10
5,2014,87,4554,0,0,0,10
5,2014,83,4554,0,0,0,10
6,2014,87,2188,0,0,0,10
6,2014,83,2188,0,0,0,10
7,2014,87,4594,0,0,0,10
7,2014,83,4594,0,0,0,10
8,2014,87,3523,0,0,0,10
8,2014,83,3523,0,0,0,10
1,2014,97,976,246128,252.18032786885246,44.397864258454717,1
1,2014,140,2466,42553,17.255879967558801,5.4206485360785983,10
2,2014,97,5379,1579776,293.69325153374234,14.503660742904817,1
2,2014,140,5751,113383,19.715353851504087,10.177857000727949,10
3,2014,97,3642,1037867,284.9717188358045,29.034122245066854,1
3,2014,140,5603,38943,6.9503837230055323,7.240177412093769,10
4,2014,97,3295,871098,264.36965098634295,42.25767393148535,1
